cod_cidade,cidade,uf,loggi,dits_caj,populucao,area,malha_aerea
2304285,Eusébio (CE),CE,0,2918.000684,52698,76.583,0
3540606,Porto Feliz (SP),SP,0,119.878,52502,556.563,0
2704708,Marechal Deodoro (AL),AL,0,2407.000359,52277,333.548,0
3503802,Artur Nogueira (SP),SP,0,152.277,52008,177.752,0
4114609,Marechal Cândido Rondon (PR),PR,0,949.888,51797,748.003,0
3509700,Campos do Jordão (SP),SP,0,181.163,51451,289.512,0
3131901,Itabirito (MG),MG,0,629.887,50829,543.007,0
4216206,São Francisco do Sul (SC),SC,0,571.373,50714,492.819,0
3303609,Paracambi (RJ),RJ,0,385.212,50614,179.374,0
3556453,Vargem Grande Paulista (SP),SP,0,48.746,50365,33.512,0
1716109,Paraíso do Tocantins (TO),TO,0,1685.000262,50359,1297.018,0
3531308,Monte Alto (SP),SP,0,359.319,49974,347.119,0
4219507,Xanxerê (SC),SC,0,840.032,49735,377.553,0
3544103,Rio Grande da Serra (SP),SP,0,48.525,49414,36.671,0
2312403,São Gonçalo do Amarante (CE),CE,0,3153.000012,48279,834.394,0
4113205,Lapa (PR),PR,0,485.496,48062,2045.893,0
3508405,Cabreúva (SP),SP,0,89.744,47890,259.807,0
2700409,Atalaia (AL),AL,0,2405.000859,47734,531.983,0
3540200,Pontal (SP),SP,0,354.965,47661,355.262,0
1301852,Iranduba (AM),AM,0,3940.000546,47402,2215.033,0
4307609,Estância Velha (RS),RS,0,1165.000267,47304,52.378,0
2921005,Mata de São João (BA),BA,0,1968.000212,46955,670.38,0
3511508,Cerquilho (SP),SP,0,148.747,46754,127.758,0
3537107,Pedreira (SP),SP,0,143.306,46603,109.71,0
3528403,Mairinque (SP),SP,0,75.906,46563,209.757,0
3527306,Louveira (SP),SP,0,71.405,45959,55.349,0
